Revenue,Gross Profit,Short-term debt,Net Income,Total assets,2019 PRICE VAR [%]
21528968000,4780105000,20761000,943470000,8989327000,0.454549677
9086000000,6970000000,1289000000,142000000,14102000000,10.79968058
32815000000,4337000000,1407000000,2138000000,70507000000,14.18410269
25441131000,1595882000,43011000,428534000,13715855000,59.94930417
10153000000,3648000000,0,2187000000,13121000000,-1.147381443
32753000000,25035000000,5308000000,5687000000,59352000000,4.834143747
15740400000,5435600000,3149900000,2131000000,30624000000,45.02756921
1.30863E+11,75355000000,7190000000,15528000000,2.64829E+11,14.2408863
9830000000,3927000000,961000000,361000000,14874000000,88.73627865
699393000,601241000,0,-61900000,818642000,-22.28412177
14178000000,1873000000,65000000,1115000000,10982000000,-37.53188475
4514810000,1798683000,4176000,-533299000,5238225000,38.83196591
23443000000,12581000000,652000000,-1733000000,70256000000,-7.004212968
5361960000,2128789000,24900000,390498000,2300215000,-42.58339202
10734000000,4146000000,162000000,3064000000,19566000000,13.43838789
18274823579,18274823579,0,1184667665,1.72701E+11,44.61868196
97102000000,11036000000,544000000,2780000000,92940000000,4.929742899
79823000000,18867000000,4784000000,7911000000,39801000000,33.91803189
1433984000,1146649000,0,507885000,3387952000,77.78488073
1273006000,1174882000,218824000,606011000,6314652000,53.49227261
31856000000,20086000000,18838000000,6434000000,83216000000,21.67873852
21199000000,332804000,0,23653000,47553811000,25.25752173
445125000,424059000,146300000,132052000,5096316000,50.33543226
38727000000,18172000000,112000000,6257000000,69980000000,4.896407928
10231000000,3012000000,381000000,873000000,12735000000,-62.10045837
59434000000,26708000000,3790000000,12598000000,98598000000,34.34665181
20571631000,2334185000,1463850000,1695831000,28566181000,40.05981817
1.66339E+11,46350000000,5726000000,14824000000,2.53863E+11,13.29498422
15451000000,7114000000,1998000000,2057000000,43332000000,26.14577046
1798500000,201200000,62300000,-284600000,8012900000,66.14338482
5.00343E+11,1.26947E+11,9662000000,9862000000,2.04522E+11,29.89801695
2332400000,809600000,0,1128100000,3529600000,10.28436632
42294000000,28785000000,5308000000,6220000000,82637000000,23.59785207
25938000000,10352000000,5840000000,3381000000,62729000000,40.91671798
11763096000,4844221000,183457000,466772000,30210706000,34.52956736
2577800000,4620800000,2005400000,-348200000,6104300000,89.99000306
3212600000,579700000,0,-25600000,8063800000,46.2962888
10132000000,10132000000,0,3507000000,2.96482E+11,16.23696752
3048121000,1071147000,561000,-640948000,7853944000,33.63452258
645641000,533385000,0,260022000,2754714000,-13.44538472
581644000,504596000,23208000,165458000,1767141000,-9.197867115
9714000000,5822000000,15000000,3047000000,11241000000,73.40989975
81581000000,54595000000,2796000000,15297000000,1.45314E+11,17.40270535
20647000000,7705000000,179000000,675000000,29235000000,71.1693017
9823000000,7010000000,2253000000,1671000000,20999000000,31.22461527
9005000000,9005000000,0,2775000000,2.15543E+11,39.73963835
5878300000,2238700000,138500000,627400000,7587600000,45.29200336
24231443299,24231443299,46448005771,6419329897,4.00205E+11,-0.419958173
16392000000,16392000000,7527000000,4266000000,3.62873E+11,8.565143367
1589000000,177000000,1853000,23653000,2879000000,100.5524989
7348000000,2438000000,151000000,40000000,21582000000,-2.087484471
950528000,306958000,165474000,31812000,1374241000,-71.09826694
604500000,39200000,0,-1225700000,2169600000,6.024097943
902369000,677642000,0,-93991000,4088189000,42.45619839
44438000000,26493000000,2473000000,3935000000,60266000000,19.92066868
10939000000,3938000000,0,2486000000,12255000000,10.83505378
18881000000,7792000000,2426000000,3152000000,42401000000,6.183969614
3170000000,2374000000,1853000,23653000,15954000000,9.339455809
95584000000,34067000000,80670000000,7173000000,2.22068E+11,15.75165021
10553000000,6618000000,1819000000,594000000,32550000000,26.75184582
1105775000,661779000,0,324595000,2420305000,-23.26203534
30578000000,17872000000,207000000,2368000000,67173000000,27.05125023
6693000000,6693000000,3100000000,2193000000,1.46069E+11,31.45704758
3326997000,1001614000,0,-321421000,5469866000,0.54758469
21142000000,21142000000,0,7096000000,4.67374E+11,31.74834277
1.01127E+11,19637000000,3190000000,10460000000,1.17359E+11,2.920156473
11896772680,1584891237,470344845.4,593780412.4,13216760052,25.36841909
7658000000,4611000000,442000000,188000000,10959000000,15.55554587
1932600000,1354600000,14600000,-1011600000,6117800000,-20.0593567
10746000000,8364000000,1546000000,2530000000,22819000000,27.05512847
4275000000,4275000000,575000000,1393000000,1.08781E+11,29.35505333
28495402299,28495402299,1.01016E+11,306896551.7,1.54958E+12,-3.47989788
2409170000,1461940000,0,520831000,4708287000,62.62733318
1.31537E+11,30792000000,1966000000,5024000000,68124000000,-10.61264765
76569000,43582000,0,-46756000,130697000,-10.05004126
5344066000,2794955000,58672000,419264000,7911885000,39.72320198
4547002000,803082000,629271000,170365000,5073571000,74.3943392
10553000000,6618000000,1860000000,614000000,32550000000,27.9479642
31979000000,10258000000,0,2615300000,46575000000,27.45903202
25364000000,12254000000,13848000000,6963000000,55638000000,8.045047649
29953000000,20886000000,2058000000,3104000000,91393000000,31.74119997
3018000000,1219000000,373000000,-1996000000,25665000000,-3.641453178
24959390863,24959390863,50604198669,1769035533,1.43818E+12,30.91608792
891045000,750108000,6051000,199899000,4260021000,-59.11504595
1473625000,931087000,105125000,322698000,4723222000,-28.06122759
17275399000,9600224000,913093000,3419040000,33934474000,-6.469136732
30852000000,9570000000,2005000000,1908000000,55493000000,21.45070451
15784000000,10277000000,749000000,5580000000,17137000000,39.63731491
2321947000,1259727000,84000,-35296000,7626142000,-41.15523442
12593196000,3066566000,509415000,1151703000,18231671000,46.51230673
1.94579E+11,31538000000,1985000000,-594000000,1.96456E+11,17.15281528
6466000000,3390000000,67000000,-282000000,21433000000,60.80183871
2660100000,1766200000,16600000,77100000,6083400000,8.11843123
6833259000,6833259000,0,1541788000,28924650000,94.62859126
6515000000,3710000000,107000000,-712000000,15179000000,-9.432331318
7659000000,2156000000,1853000,23653000,14070000000,6.91813249
506142000,370894000,18844000,-154960000,553566000,-8.70510635
18934000000,7950000000,116000000,4131000000,43854000000,-29.00030719
15440000000,2942962963,505185185.2,-1977037037,26054814815,42.52111846
7739000000,7739000000,0,2790000000,1.06792E+11,52.22532135
1123848000,1087286000,0,670097000,5677802000,36.06199267
21965000000,14908000000,606000000,2465000000,26243000000,16.07346066
12552900000,2279900000,67400000,-1921600000,24784500000,10.9035861
13403000000,3322000000,1000000,227000000,16132000000,-18.02591305
12946211340,7979819588,402216494.8,2841417526,24259304124,13.8866048
2578434000,1698800000,459530000,657535000,20394209000,30.6187297
6705000000,518000000,38000000,-2687000000,9440000000,-90.50279299
603693000,412931000,3884000,77491000,901851000,-5.744682474
1715016000,832700000,0,198440000,3054560000,85.45594916
2.26247E+11,53846000000,1973000000,11986000000,1.52221E+11,22.77778461
5939000000,3155000000,500000000,1069000000,15344000000,-20.35929496
2363754000,828848000,2845000,-7894000,1655634000,9.04208359
2.32887E+11,93731000000,0,10073000000,1.62648E+11,20.05743244
15794341000,5826803000,0,1211242000,25974400000,20.88844164
1550497000,719831000,4000000,240755000,2317641000,70.22309027
12250000000,4773000000,18000000,3309000000,36729000000,18.40005373
6717660000,2631385000,11960000,572430000,13216269000,37.37023313
498264000,3648000000,0,23653000,13121000000,-5.891174698
60116000000,8421000000,38000000,900000000,30901000000,11.27433439
2821000000,2821000000,0,884000000,68746000000,28.35140055
372293000,214258000,0,-369672000,751811000,3.377778795
1721005000,537957000,0,175402000,1199580000,-48.5853369
48650000000,16329000000,2955000000,2637000000,1.53226E+11,9.280305965
8686000000,4335000000,47000000,-155000000,45302000000,12.29494008
4390116000,955806000,63906000,24284000,7254909000,51.06680236
6803955000,2656519000,446408000,553084000,7255958000,21.54367496
10992000000,10992000000,0,3237000000,2.25697E+11,30.6089362
3377700000,2359500000,0,994100000,7915400000,34.69172958
15281000000,14694000000,501000000,4046000000,35480000000,62.42496827
13366000000,5624000000,4031000000,2447000000,77914000000,21.97755782
2282379000,864777000,15000000,101000000,1087605000,-29.20026859
5802000000,5802000000,0,1692000000,1.60518E+11,38.21022306
28878518519,17432592593,2562962963,2439259259,66354814815,21.16567769
32765000000,16083000000,1211000000,5349000000,36500000000,-4.496326055
13452900000,11636600000,0,4430700000,25288900000,-2.612488559
22095416000,1706792000,25197000,86330000,12045641000,68.69328091
40992534000,12493364000,5337000,4059907000,24449083000,51.66534508
19636000000,5392000000,1632000000,3573000000,45502000000,7.255007654
7780515464,1254561856,0,-545103092.8,10923298969,47.70797974
24719500000,16788800000,349900000,4518300000,24156400000,39.25823361
1826431000,1541224000,0,369127000,9391363000,16.98474098
13729000000,6755000000,111000000,2413000000,22547000000,34.10320223
459016000,83839000,0,-379631000,4628926000,153.3122883
39112944162,26116751269,7351522843,4597715736,73687817259,30.32953681
18854000000,8296000000,2216000000,-2150000000,60683000000,-38.17034729
34055000000,2999000000,66000000,2216000000,25511000000,-4.799286394
1.17033E+11,5594000000,238000000,3122000000,50155000000,29.25077385
374401000,207929000,0,22844000,873600000,8.960001628
1147000000,1147000000,0,373000000,33102000000,33.40631976
2056600000,1753200000,0,-566900000,4113600000,42.26116405
1.00904E+11,34356000000,2761000000,8630000000,44529000000,30.11303448
14801302460,7313024602,1447322721,3990303907,43063096961,-22.09553065
4139626000,2537641000,532000,-397517000,15519464000,-70.79918199
14014000000,2617000000,434000000,642000000,18693000000,66.73291951
8514000000,3939000000,1000000,875000000,1.54682E+11,53.26004776
5158509000,1841859000,430206000,351515000,8877383000,33.57250591
2067072000,1579705000,0,508407000,6352862000,-26.0524141
5974700000,5974700000,0,1556400000,1.32213E+11,29.87110527
16068000000,3669900000,499600000,1460300000,14114600000,51.62149888
41303000000,24836000000,2072000000,2129000000,49024000000,4.644804013
3159931000,1420202000,1026000,613149000,3140949000,-4.340227673
5581800000,1509200000,36500000,4500000,7423700000,-68.02227877
644182000,425047000,0,39924000,5997285000,18.66610925
9714400000,1378200000,73800000,618900000,15620300000,19.20942576
37357700000,11786500000,1320000000,2368400000,70108000000,19.15014559
26268000000,8921000000,398000000,-10192000000,1.03461E+11,-21.74738098
2188148000,1414931000,0,557043000,4198829000,-24.75309213
79591000000,36936000000,10207000000,8728000000,1.23382E+11,21.92424577
1749000000,1035000000,253630000,125684000,2069000000,48.18288512
44541000000,24141000000,4948000000,1412000000,60580000000,-10.60206911
6946100000,1124000000,125900000,327900000,8997400000,-13.23271081
23400000000,7667000000,1307000000,2162000000,48797000000,36.97917783
897977000,798796000,22124000,523619000,11333368000,45.56530068
9144000000,4108000000,530000000,-54000000,26024000000,4.797783536
8630900000,3008800000,318700000,-6917900000,17722400000,9.017197922
36534200000,5136900000,1500100000,4172400000,56969800000,19.92462041
18486000000,5597000000,1208000000,1410000000,14518000000,26.97047353
16195700000,5039900000,3608500000,1923800000,68802800000,33.74042948
3975454000,2506654000,165578000,122456000,6201474000,22.4473643
54722000000,17003000000,11553000000,6147000000,78509000000,20.16613555
3943000000,772000000,139000000,133000000,6643000000,76.3599862
11433900000,4001600000,701700000,352500000,32734900000,-28.00859482
3986300000,2067800000,92400000,-1011000000,8687000000,50.39481006
2395836000,2395836000,0,1131063000,50743375000,51.64538446
4643723000,622165000,19746000,138506000,3328304000,39.3349714
12873000000,4665000000,240000000,-118000000,8454000000,-1.754384314
43310000000,24956000000,841000000,2888000000,72468000000,20.16548514
9478000000,2370000000,745000000,268000000,10628000000,4.62510328
6615000000,2374000000,1525000000,261000000,14529000000,58.7046167
1046765702,928055426.9,0,415486975.4,2280202750,4.889883871
7691651000,3716949000,440384000,640749000,24895977000,46.89070138
13408421000,6225524000,0,2815775000,18965538000,37.00604893
72714000000,21589000000,281000000,2914000000,40303000000,99.11827345
5167465969,2216482908,206563265.3,306602755.1,15161764949,-6.71996003
11290000000,4461000000,4000000,1066000000,27505000000,0.069180203
8359000000,2689000000,8000000,734000000,5393000000,64.52708764
6992118000,2559556000,220318000,570267000,8365771000,65.09912378
9545700000,1995433000,0,1012140000,8142292000,11.37232944
32406000000,15211000000,3429000000,7389000000,85459000000,-13.45514859
9306666667,3422962963,23703703.7,2301481481,29352592593,-16.71501014
10736000000,2573000000,1659000000,1203000000,32521000000,44.94937005
7785000000,2852000000,1960000000,1827000000,43396000000,34.46355476
4732700000,1502100000,237700000,193100000,5050200000,14.5336415
271719000,271719000,80606582000,54408000,1.05788E+11,6.459970322
498264000,221947000,1853000,23653000,99205000000,35.22457105
11184000000,3364000000,499000000,1182000000,9410000000,60.10780631
9030008000,7835009000,0,2590774000,18768682000,46.86288765
13547000000,4726000000,686000000,1336000000,17780000000,26.90103453
27058000000,7485000000,300000000,2909000000,32670000000,44.78810858
24939000000,9758000000,22000000,1566000000,19583000000,-40.16463008
21461268000,4042021000,2568000000,-976091000,29740000000,34.89294246
2483840000,931455000,6943000,354592000,3693215000,85.40692845
33708287582,16274055556,2900480392,11866215686,68301673203,66.5948137
1024600000,1024600000,3937298000,447254000,31383307000,26.85127605
1104297000,1104297000,4631000000,422417000,51899376000,33.25599819
1180022000,402774000,0,411198000,13311987000,-54.87804781
4986000000,3789000000,0,-66000000,21010000000,31.3740315
6167600000,1440020000,63100000,301692000,3606619000,62.83200849
289292000,289292000,0,219986000,5095819000,20.13640777
67941000000,20021000000,415000000,5123000000,6.87538E+11,26.95112287
21758000000,9758000000,1000000,2920000000,1.40406E+11,18.65504492
5880000000,3848500000,700000,397500000,6678300000,-17.58106115
794012000,295931000,0,427115000,6470046000,56.46623293
3534500000,1201300000,697700000,522300000,15426000000,36.99290278
498264000,860405000,25008000,28938000,2547804000,38.57934249
66501000000,16516000000,4345000000,5269000000,1.34211E+11,41.40439223
2081414000,1549591000,0,342494000,7759573000,-67.65094764
11876674000,4574857000,121826000,480118000,11393402000,50.63290976
16759000000,5107000000,21994000000,-6851000000,76995000000,-54.32773011
1065942000,843333000,0,404427000,3185100000,-31.9722001
1893200000,-22900000,31100000,-66200000,1537500000,-0.397353762
15622000,15622000,5419000,-67657000,169497000,19.76470947
4709586000,3752797000,2360000,988317000,15297947000,-18.12727109
1.2691E+11,17702298851,6971264368,4147126437,1.11348E+11,18.89839692
53446000,53446000,0,-168843000,295381000,6.903763791
567137000,79099000,5264000,-26563000,2703944000,38.14757171
2649181000,1398790000,0,258662000,1998483000,87.81516095
5193185000,2340471000,25000000,-46302000,4245022000,21.28018545
7938300000,2351500000,584300000,808400000,10389500000,65.72874825
11821839000,2322814000,24234000,1258379000,7703563000,15.20564903
64661000000,35280000000,4026000000,12515000000,77648000000,28.77463316
23495000000,8338000000,6113000000,2242000000,1.16914E+11,52.34655179
498264000,221947000,1853000,-1000000,5000000,58.07559343
1.41576E+11,18424000000,90000000,3134000000,40830000000,44.95356895
181278000,156203000,0,-12951000,206970000,1.339537155
5423000000,3576000000,107000000,671000000,32785000000,38.87711282
2547677424,776394066.6,0,634301736.6,5742815774,47.26756319
36616000000,36616000000,27476000000,10459000000,9.31796E+11,36.41234977
2602500000,1660600000,16900000,102900000,9209900000,51.84049951
4581673000,3540337000,58184000,-609155000,17208608000,36.83391501
493576000,347948000,331000,13715000,487197000,34.19282339
17408000000,7432000000,1623000000,2203000000,20390000000,31.53490269
10589000000,2074000000,1083000000,368000000,27009000000,1.442770997
4131200000,3756900000,343800000,77600000,13931900000,10.30086503
9398000000,5790200000,218900000,-168800000,22630200000,69.12938043
14950000000,14950000000,500000000,5859000000,24860000000,58.24366516
975300000,333500000,55000000,185900000,1838300000,58.38325284
13327700000,5516800000,0,1884900000,38849100000,33.70704832
498264000,221947000,1853000,23653000,7.7602E+11,10.65252902
3807183000,2295375000,0,993004000,4526891000,30.33224246
4799980000,4353493000,4137981000,1015632000,43208915000,50.77262823
1084132000,487729000,0,210803000,4213000000,44.37710426
625904000,56481000,24937000,-48405000,1712500000,67.9833684
6405000000,1675000000,185000000,-88000000,7761000000,47.66904929
7440100000,5262300000,2754800000,1236400000,33010400000,49.23400757
1024762000,670981000,0,-159878000,1123995000,4.26569634
7357100000,2836100000,144000000,1338600000,15301200000,14.41786292
21609000000,7098000000,753000000,2145000000,31092000000,42.86873268
24521000000,9250000000,6816000000,2666000000,1.45392E+11,12.37028624
15544000000,9231000000,12000000,2400000000,12161000000,19.13650226
662000,662000,0,-59881000,73023000,-48.29545278
3769600000,1626900000,13100000,328000000,7206200000,29.78256303
16727000000,9665000000,10930000000,6638000000,1.03702E+11,46.03815036
9415000000,4346000000,0,978000000,17903000000,13.67465885
2310000000,1592000000,0,151000000,8203000000,18.14273118
64341000000,4181000000,690000000,1810000000,40833000000,17.15979458
3745810000,2054512000,0,409467000,22584555000,6.460364387
7862000000,6721000000,0,659000000,21206000000,11.47913426
44509000,44222000,0,-70480000,139109000,-9.322025422
8590472000,2489060000,5202000,323445000,4203939000,60.29177077
711000000,288000000,0,13000000,30945000000,56.88969546
580706000,403230000,0,248827000,848866000,24.66367478
11076998000,5165032000,610030000,2380681000,12479478000,115.9554149
9407000000,4851000000,1107000000,2208000000,21530000000,71.62702612
7155000000,1972000000,561000000,1207000000,9313000000,37.95054989
9379000000,2025000000,96000000,337000000,7953000000,25.92100401
6535632184,618390804.6,134482758.6,218390804.6,4483908046,88.20224486
1257867000,1131406000,0,-90286000,13963493000,39.50198749
6023000000,946000000,52000000,221100000,7059200000,57.62186116
4700499000,2267482000,0,804954000,30342072000,26.91322335
35864664000,10362497000,0,2607948000,14058015000,39.00520241
2804449000,2046761000,428000,1649361000,38417664000,60.48451283
20084000000,7908000000,126000000,859000000,13389000000,-20.96378328
2339017000,1087396000,27627000,791851000,6062084000,-15.06922969
8080100000,1745400000,0,596000000,5469600000,12.21205222
2947078000,1315396000,34150000,-1031469000,10132393000,-39.16990877
4046600000,630300000,6600000,222400000,5501800000,-7.561523513
1111000000,136900000,0,-19700000,3961000000,1.08400979
12182000000,6156000000,735549000,1074106000,10206000000,51.73766715
544345000,326322000,0,136324000,4076976000,32.66453109
41802000000,12756000000,6458000000,6765000000,57773000000,36.99580706
1850101449,1329956522,0,689666666.7,3502869565,58.0879728
1.36819E+11,77270000000,0,30736000000,2.32792E+11,26.99491281
6276000000,4979000000,951000000,1988000000,92791000000,24.47061035
29868000,29356000,889000,-126757000,95936000,18.90295105
7476000000,1810000000,1227000000,748000000,17249000000,47.80396246
11635000000,2306000000,219000000,454000000,16554000000,45.99209743
806338000,600286000,0,219267000,1289667000,45.83708295
23747000000,19646000000,4419000000,8394000000,66416000000,29.44296743
2244044000,392177000,5570000,144326000,7121362000,31.48495601
5314100000,5314100000,0,882800000,30978400000,14.2311598
23470967000,7221359000,401345000,1538960000,12516911000,46.20625289
5919815722,1768873196,1457071907,1307767010,12197815464,51.92565587
1116305000,1116305000,0,487476000,26638173000,5.800265508
1577298000,414169000,13327000,-200808000,2900840000,-43.79607278
1677837000,463342000,9000000,55505000,729971000,7.28271137
11015000000,2551000000,95000000,104000000,6166000000,9.214501654
2737000000,1167000000,0,472000000,9363000000,8.615037118
65865000,22385000,14411000,-36256000,190892000,-67.42424318
7143258000,1470251000,0,748151000,10244590000,19.48124683
5465683000,1199366000,92598000,200974000,3471664000,7.390843155
1333554000,1179964000,149718000,-119858000,4291116000,51.36737413
3488900000,785600000,82400000,-33300000,3236000000,41.76920452
4309400000,4309400000,40029700000,1962200000,77475700000,11.16710713
4531426000,764575000,317561000,-528258000,6467260000,10.48632318
415485000,415485000,110000000,123340000,11487387000,27.95849098
620675542.7,157839797.4,0,16965123.01,744168596.2,8.465610655
2873000000,2873000000,0,1052000000,65003000000,3.31041421
972410000,643588000,0,666227000,6190004000,25.83282683
35985000000,8195000000,2063000000,2010000000,1.19666E+11,6.712644844
10769600000,4184800000,1594500000,1116500000,30109800000,-2.058940164
22832000000,16786000000,1466000000,5966000000,59147000000,34.1365315
15983000000,7262000000,2601000000,311000000,53904000000,25.11255432
8547100000,2484900000,0,34700000,5041600000,-51.90293832
483000000,64000000,254000000,142000000,5294000000,53.71433524
750898000,198096000,0,-3900000,583196000,74.5864585
1761224000,683995000,0,188643000,6005097000,17.81995152
12632000000,4959000000,87000000,983000000,8149000000,-26.99845039
4169800000,2610700000,120600000,370100000,5468100000,67.05361854
4858000000,897000000,43000000,358000000,3893000000,-11.51724191
6055126000,2678050000,681218000,954843000,15205970000,37.82444166
8453000000,1444000000,7000000,-31000000,19796000000,-2.298912311
5393000000,1211000000,55000000,-416000000,6680000000,-42.32558317
53762000000,7274000000,1500000000,5046000000,44876000000,50.88130943
6909417000,970109000,82655000,259659000,4439953000,56.94716728
1590000000,824000000,31655000,460115000,4292000000,45.05875974
15855000000,6066000000,0,848000000,7989000000,-28.07997942
58727324000,11085391000,786505000,1430766000,18070404000,41.01289823
498264000,-235496065,0,23653000,2808232481,16.81274601
1160301000,1160301000,0,183588000,1344079000,-1.74567504
6452700000,3321300000,455600000,2913800000,12905600000,13.84907381
1114000000,1114000000,52500000,168500000,3653400000,43.41638049
16125000000,6287000000,9000000,2101000000,15913000000,-0.460492421
3217900000,1696700000,601400000,-111300000,7230900000,35.89276828
12657000000,4454000000,799000000,-302000000,56574000000,37.65745811
2973903000,2540100000,1155445000,575667000,5136049000,10.03206518
5452000000,5263000000,3000000,1473000000,37520000000,3.628554443
587624000,482689000,0,300360000,3979173000,-26.2595453
4429000000,917000000,0,290000000,12661000000,16.69795302
17132000000,17132000000,0,5301000000,3.82315E+11,38.65219591
3866956000,1075542000,68435000,337531000,5806381000,7.760134196
8369754224,2446943164,1444562212,1230122888,11684178187,-26.42583209
39004000000,6475000000,890000000,4690000000,28278000000,18.3677205
13621302000,4354553000,1341993000,1575091000,30587012000,37.05565058
1082826000,415805000,0,-885050000,9264923000,-55.6363626
40827000000,5772000000,1299000000,2296000000,25945000000,23.9699081
3795549000,1370505000,0,204163000,1816313000,-22.57868833
3.03738E+11,49319000000,9373000000,9383000000,2.82176E+11,3.993078841
11537000000,4453000000,1505000000,1261000000,45987000000,35.25369449
1155457000,769427000,0,-297161000,1599880000,-25.46494694
2285000000,806000000,30000000,166000000,1854000000,11.63570638
229525000,134916000,0,47362000,369159000,25.30874459
1337000000,995000000,300000000,858000000,12895000000,32.0599955
71861000000,66702000000,2805000000,4791000000,50016000000,24.64533045
2570603000,2014709000,668000,411094000,11052587000,16.10163294
4382869000,1100945000,133023000,515805000,9832130000,48.9588383
2497471264,751149425.3,24597701.15,196781609.2,6138850575,30.74225623
92105000000,20210000000,1994000000,3750000000,71571000000,19.80632544
1226505000,536022000,0,44900000,481585000,47.38655986
36193000000,6715000000,973000000,3345000000,45408000000,14.75867638
1164762000,836203000,0,497795000,10999100000,50.46457896
7594000000,7594000000,0,628000000,9301000000,50.13420637
396484000,396484000,0,285078000,14467375000,26.42481394
4145900000,1840800000,598300000,568600000,6069200000,10.60117408
3046478000,1959897000,0,331246000,23766695000,20.31059015
23306000000,7751000000,639000000,2012000000,33576000000,17.54795844
530606000,306452000,546711000,84111000,5060644000,24.29592504
826968000,14758000,856000,-961241000,2192669000,263.9819052
6638000000,1971000000,13000000,995000000,7362000000,-35.06646527
8143000000,1157000000,28000000,427000000,5918000000,34.67752447
7932900000,5661000000,525000000,-379200000,24126800000,47.42113317
34288000,34288000,0,-184748000,207978000,-89.8984775
2828000000,744000000,5000000,394600000,2514000000,42.89440532
42151000000,9876000000,544000000,1000000000,13049000000,68.46636699
1007257000,552936000,6250000,78481000,2065708000,-35.54200904
45743000000,2266000000,1169000000,267000000,19425000000,11.78597484
694812000,595436000,57012000,-128308000,3819527000,-6.86347079
11171423000,1479964000,65646000,293346000,7075787000,36.6586801
183866000,89822000,0,-122611000,206294000,75.32353121
1031600000,663900000,0,-127100000,1916000000,89.91144722
986787000,714882000,0,79812000,3368608000,1.732881868
145208000,126606000,0,102886000,14737638000,18.11131028
7253000000,3160000000,653000000,341000000,20715000000,31.16002592
6319100000,6319100000,0,764400000,14383500000,-9.863520778
524700000,330100000,0,464100000,1914000000,28.29372241
1572000000,1572000000,0,395000000,1.04176E+11,54.67872709
1041179000,576505000,0,339570000,3760612000,31.87887075
